date	ouv	haut	bas	clot	vol	devise	
08/04/2024 00:00	91.63	91.63	91.63	91.63	0	EUR	
09/04/2024 00:00	91.99	91.99	91.99	91.99	0	EUR	
10/04/2024 00:00	91.55	91.55	91.55	91.55	0	EUR	
11/04/2024 00:00	91.32	91.32	91.32	91.32	0	EUR	
12/04/2024 00:00	91.77	91.77	91.77	91.77	0	EUR	
15/04/2024 00:00	91.25	91.25	91.25	91.25	0	EUR	
16/04/2024 00:00	90.87	90.87	90.87	90.87	0	EUR	
17/04/2024 00:00	91.07	91.07	91.07	91.07	0	EUR	
18/04/2024 00:00	90.96	90.96	90.96	90.96	0	EUR	
19/04/2024 00:00	91.14	91.14	91.14	91.14	0	EUR	
22/04/2024 00:00	91.1	91.1	91.1	91.1	0	EUR	
23/04/2024 00:00	91.09	91.09	91.09	91.09	0	EUR	
24/04/2024 00:00	90.66	90.66	90.66	90.66	0	EUR	
25/04/2024 00:00	90.41	90.41	90.41	90.41	0	EUR	
26/04/2024 00:00	90.71	90.71	90.71	90.71	0	EUR	
29/04/2024 00:00	91.02	91.02	91.02	91.02	0	EUR	
30/04/2024 00:00	90.75	90.75	90.75	90.75	0	EUR	
02/05/2024 00:00	91.06	91.06	91.06	91.06	0	EUR	
03/05/2024 00:00	91.44	91.44	91.44	91.44	0	EUR	
06/05/2024 00:00	91.58	91.58	91.58	91.58	0	EUR	
07/05/2024 00:00	91.88	91.88	91.88	91.88	0	EUR	
08/05/2024 00:00	91.7	91.7	91.7	91.7	0	EUR	
10/05/2024 00:00	91.46	91.46	91.46	91.46	0	EUR	
13/05/2024 00:00	91.5	91.5	91.5	91.5	0	EUR	
14/05/2024 00:00	91.38	91.38	91.38	91.38	0	EUR	
15/05/2024 00:00	92.04	92.04	92.04	92.04	0	EUR	
16/05/2024 00:00	91.93	91.93	91.93	91.93	0	EUR	
17/05/2024 00:00	91.65	91.65	91.65	91.65	0	EUR	
21/05/2024 00:00	91.75	91.75	91.75	91.75	0	EUR	
22/05/2024 00:00	91.55	91.55	91.55	91.55	0	EUR	
23/05/2024 00:00	91.27	91.27	91.27	91.27	0	EUR	
24/05/2024 00:00	91.32	91.32	91.32	91.32	0	EUR	
28/05/2024 00:00	91.23	91.23	91.23	91.23	0	EUR	
29/05/2024 00:00	90.71	90.71	90.71	90.71	0	EUR	
30/05/2024 00:00	90.93	90.93	90.93	90.93	0	EUR	
31/05/2024 00:00	91	91	91	91	0	EUR	
03/06/2024 00:00	91.53	91.53	91.53	91.53	0	EUR	
04/06/2024 00:00	91.79	91.79	91.79	91.79	0	EUR	
05/06/2024 00:00	91.94	91.94	91.94	91.94	0	EUR	
06/06/2024 00:00	91.81	91.81	91.81	91.81	0	EUR	
07/06/2024 00:00	91.37	91.37	91.37	91.37	0	EUR	
10/06/2024 00:00	90.98	90.98	90.98	90.98	0	EUR	
11/06/2024 00:00	91.14	91.14	91.14	91.14	0	EUR	
12/06/2024 00:00	91.67	91.67	91.67	91.67	0	EUR	
13/06/2024 00:00	91.88	91.88	91.88	91.88	0	EUR	
14/06/2024 00:00	92.17	92.17	92.17	92.17	0	EUR	
17/06/2024 00:00	91.83	91.83	91.83	91.83	0	EUR	
18/06/2024 00:00	92.03	92.03	92.03	92.03	0	EUR	
20/06/2024 00:00	91.86	91.86	91.86	91.86	0	EUR	
21/06/2024 00:00	91.92	91.92	91.92	91.92	0	EUR	
24/06/2024 00:00	91.91	91.91	91.91	91.91	0	EUR	
25/06/2024 00:00	91.99	91.99	91.99	91.99	0	EUR	
26/06/2024 00:00	91.69	91.69	91.69	91.69	0	EUR	
27/06/2024 00:00	91.7	91.7	91.7	91.7	0	EUR	
28/06/2024 00:00	91.5	91.5	91.5	91.5	0	EUR	
01/07/2024 00:00	91.14	91.14	91.14	91.14	0	EUR	
02/07/2024 00:00	91.25	91.25	91.25	91.25	0	EUR	
03/07/2024 00:00	91.61	91.61	91.61	91.61	0	EUR	
04/07/2024 00:00	91.55	91.55	91.55	91.55	0	EUR	
05/07/2024 00:00	91.92	91.92	91.92	91.92	0	EUR	
08/07/2024 00:00	92.23	92.23	92.23	92.23	0	EUR	
09/07/2024 00:00	91.85	91.85	91.85	91.85	0	EUR	
10/07/2024 00:00	92.08	92.08	92.08	92.08	0	EUR	
11/07/2024 00:00	92.45	92.45	92.45	92.45	0	EUR	
12/07/2024 00:00	92.39	92.39	92.39	92.39	0	EUR	
15/07/2024 00:00	92.48	92.48	92.48	92.48	0	EUR	
16/07/2024 00:00	92.72	92.72	92.72	92.72	0	EUR	
17/07/2024 00:00	92.73	92.73	92.73	92.73	0	EUR	
18/07/2024 00:00	92.68	92.68	92.68	92.68	0	EUR	
19/07/2024 00:00	92.49	92.49	92.49	92.49	0	EUR	
22/07/2024 00:00	92.38	92.38	92.38	92.38	0	EUR	
23/07/2024 00:00	92.59	92.59	92.59	92.59	0	EUR	
24/07/2024 00:00	92.36	92.36	92.36	92.36	0	EUR	
25/07/2024 00:00	92.81	92.81	92.81	92.81	0	EUR	
26/07/2024 00:00	92.77	92.77	92.77	92.77	0	EUR	
29/07/2024 00:00	93.04	93.04	93.04	93.04	0	EUR	
30/07/2024 00:00	93.15	93.15	93.15	93.15	0	EUR	
31/07/2024 00:00	93.47	93.47	93.47	93.47	0	EUR	
01/08/2024 00:00	93.75	93.75	93.75	93.75	0	EUR	
02/08/2024 00:00	94	94	94	94	0	EUR	
05/08/2024 00:00	93.73	93.73	93.73	93.73	0	EUR	
06/08/2024 00:00	93.68	93.68	93.68	93.68	0	EUR	
07/08/2024 00:00	93.44	93.44	93.44	93.44	0	EUR	
08/08/2024 00:00	93.42	93.42	93.42	93.42	0	EUR	
09/08/2024 00:00	93.66	93.66	93.66	93.66	0	EUR	
12/08/2024 00:00	93.72	93.72	93.72	93.72	0	EUR	
13/08/2024 00:00	93.99	93.99	93.99	93.99	0	EUR	
14/08/2024 00:00	94.1	94.1	94.1	94.1	0	EUR	
16/08/2024 00:00	93.88	93.88	93.88	93.88	0	EUR	
19/08/2024 00:00	93.94	93.94	93.94	93.94	0	EUR	
20/08/2024 00:00	94.11	94.11	94.11	94.11	0	EUR	
21/08/2024 00:00	94.27	94.27	94.27	94.27	0	EUR	
22/08/2024 00:00	94.01	94.01	94.01	94.01	0	EUR	
23/08/2024 00:00	94.18	94.18	94.18	94.18	0	EUR	
26/08/2024 00:00	94.1	94.1	94.1	94.1	0	EUR	
27/08/2024 00:00	93.9	93.9	93.9	93.9	0	EUR	
28/08/2024 00:00	93.99	93.99	93.99	93.99	0	EUR	
29/08/2024 00:00	93.95	93.95	93.95	93.95	0	EUR	
30/08/2024 00:00	93.82	93.82	93.82	93.82	0	EUR	
02/09/2024 00:00	93.72	93.72	93.72	93.72	0	EUR	
03/09/2024 00:00	93.99	93.99	93.99	93.99	0	EUR	
04/09/2024 00:00	94.28	94.28	94.28	94.28	0	EUR	
05/09/2024 00:00	94.41	94.41	94.41	94.41	0	EUR	
06/09/2024 00:00	94.59	94.59	94.59	94.59	0	EUR	
09/09/2024 00:00	94.44	94.44	94.44	94.44	0	EUR	
10/09/2024 00:00	94.81	94.81	94.81	94.81	0	EUR	
11/09/2024 00:00	94.84	94.84	94.84	94.84	0	EUR	
12/09/2024 00:00	94.73	94.73	94.73	94.73	0	EUR	
13/09/2024 00:00	94.99	94.99	94.99	94.99	0	EUR	
16/09/2024 00:00	95	95	95	95	0	EUR	
17/09/2024 00:00	94.95	94.95	94.95	94.95	0	EUR	
18/09/2024 00:00	94.68	94.68	94.68	94.68	0	EUR	
19/09/2024 00:00	94.68	94.68	94.68	94.68	0	EUR	
20/09/2024 00:00	94.66	94.66	94.66	94.66	0	EUR	
23/09/2024 00:00	94.62	94.62	94.62	94.62	0	EUR	
24/09/2024 00:00	95	95	95	95	0	EUR	
25/09/2024 00:00	94.67	94.67	94.67	94.67	0	EUR	
26/09/2024 00:00	94.66	94.66	94.66	94.66	0	EUR	
27/09/2024 00:00	94.92	94.92	94.92	94.92	0	EUR	
30/09/2024 00:00	94.93	94.93	94.93	94.93	0	EUR	
01/10/2024 00:00	95.37	95.37	95.37	95.37	0	EUR	
02/10/2024 00:00	95.12	95.12	95.12	95.12	0	EUR	
03/10/2024 00:00	94.88	94.88	94.88	94.88	0	EUR	
04/10/2024 00:00	94.6	94.6	94.6	94.6	0	EUR	
08/10/2024 00:00	94.43	94.43	94.43	94.43	0	EUR	
09/10/2024 00:00	94.35	94.35	94.35	94.35	0	EUR	
10/10/2024 00:00	94.38	94.38	94.38	94.38	0	EUR	
11/10/2024 00:00	94.38	94.38	94.38	94.38	0	EUR	
14/10/2024 00:00	94.37	94.37	94.37	94.37	0	EUR	
15/10/2024 00:00	94.74	94.74	94.74	94.74	0	EUR	
16/10/2024 00:00	94.99	94.99	94.99	94.99	0	EUR	
17/10/2024 00:00	94.88	94.88	94.88	94.88	0	EUR	
18/10/2024 00:00	95.04	95.04	95.04	95.04	0	EUR	
21/10/2024 00:00	94.52	94.52	94.52	94.52	0	EUR	
22/10/2024 00:00	94.3	94.3	94.3	94.3	0	EUR	
23/10/2024 00:00	94.34	94.34	94.34	94.34	0	EUR	
24/10/2024 00:00	94.55	94.55	94.55	94.55	0	EUR	
25/10/2024 00:00	94.28	94.28	94.28	94.28	0	EUR	
28/10/2024 00:00	94.3	94.3	94.3	94.3	0	EUR	
29/10/2024 00:00	94.12	94.12	94.12	94.12	0	EUR	
30/10/2024 00:00	94.06	94.06	94.06	94.06	0	EUR	
31/10/2024 00:00	94	94	94	94	0	EUR	
04/11/2024 00:00	94.03	94.03	94.03	94.03	0	EUR	
05/11/2024 00:00	93.73	93.73	93.73	93.73	0	EUR	
06/11/2024 00:00	93.88	93.88	93.88	93.88	0	EUR	
07/11/2024 00:00	93.88	93.88	93.88	93.88	0	EUR	
08/11/2024 00:00	94.3	94.3	94.3	94.3	0	EUR	
11/11/2024 00:00	94.54	94.54	94.54	94.54	0	EUR	
12/11/2024 00:00	94.13	94.13	94.13	94.13	0	EUR	
13/11/2024 00:00	94.19	94.19	94.19	94.19	0	EUR	
14/11/2024 00:00	94.39	94.39	94.39	94.39	0	EUR	
15/11/2024 00:00	94.37	94.37	94.37	94.37	0	EUR	
18/11/2024 00:00	94.3	94.3	94.3	94.3	0	EUR	
19/11/2024 00:00	94.42	94.42	94.42	94.42	0	EUR	
20/11/2024 00:00	94.3	94.3	94.3	94.3	0	EUR	
21/11/2024 00:00	94.33	94.33	94.33	94.33	0	EUR	
22/11/2024 00:00	94.63	94.63	94.63	94.63	0	EUR	
25/11/2024 00:00	95.07	95.07	95.07	95.07	0	EUR	
26/11/2024 00:00	94.93	94.93	94.93	94.93	0	EUR	
27/11/2024 00:00	95.11	95.11	95.11	95.11	0	EUR	
28/11/2024 00:00	95.33	95.33	95.33	95.33	0	EUR	
29/11/2024 00:00	95.64	95.64	95.64	95.64	0	EUR	
02/12/2024 00:00	95.83	95.83	95.83	95.83	0	EUR	
03/12/2024 00:00	95.8	95.8	95.8	95.8	0	EUR	
04/12/2024 00:00	95.87	95.87	95.87	95.87	0	EUR	
05/12/2024 00:00	95.82	95.82	95.82	95.82	0	EUR	
06/12/2024 00:00	95.96	95.96	95.96	95.96	0	EUR	
09/12/2024 00:00	95.75	95.75	95.75	95.75	0	EUR	
10/12/2024 00:00	95.92	95.92	95.92	95.92	0	EUR	
11/12/2024 00:00	95.88	95.88	95.88	95.88	0	EUR	
12/12/2024 00:00	95.46	95.46	95.46	95.46	0	EUR	
13/12/2024 00:00	95.22	95.22	95.22	95.22	0	EUR	
16/12/2024 00:00	95.21	95.21	95.21	95.21	0	EUR	
17/12/2024 00:00	95.2	95.2	95.2	95.2	0	EUR	
18/12/2024 00:00	95.05	95.05	95.05	95.05	0	EUR	
19/12/2024 00:00	94.62	94.62	94.62	94.62	0	EUR	
20/12/2024 00:00	94.77	94.77	94.77	94.77	0	EUR	
23/12/2024 00:00	94.4	94.4	94.4	94.4	0	EUR	
27/12/2024 00:00	94.49	94.49	94.49	94.49	0	EUR	
30/12/2024 00:00	94.49	94.49	94.49	94.49	0	EUR	
31/12/2024 00:00	94.51	94.51	94.51	94.51	0	EUR	
02/01/2025 00:00	94.43	94.43	94.43	94.43	0	EUR	
03/01/2025 00:00	94.22	94.22	94.22	94.22	0	EUR	
06/01/2025 00:00	94.11	94.11	94.11	94.11	0	EUR	
07/01/2025 00:00	93.88	93.88	93.88	93.88	0	EUR	
08/01/2025 00:00	93.67	93.67	93.67	93.67	0	EUR	
09/01/2025 00:00	93.56	93.56	93.56	93.56	0	EUR	
10/01/2025 00:00	93.31	93.31	93.31	93.31	0	EUR	
13/01/2025 00:00	93.12	93.12	93.12	93.12	0	EUR	
14/01/2025 00:00	93	93	93	93	0	EUR	
15/01/2025 00:00	93.62	93.62	93.62	93.62	0	EUR	
16/01/2025 00:00	93.81	93.81	93.81	93.81	0	EUR	
17/01/2025 00:00	93.96	93.96	93.96	93.96	0	EUR	
20/01/2025 00:00	94.2	94.2	94.2	94.2	0	EUR	
21/01/2025 00:00	94.2	94.2	94.2	94.2	0	EUR	
22/01/2025 00:00	94.14	94.14	94.14	94.14	0	EUR	
23/01/2025 00:00	94.01	94.01	94.01	94.01	0	EUR	
24/01/2025 00:00	93.98	93.98	93.98	93.98	0	EUR	
27/01/2025 00:00	94.21	94.21	94.21	94.21	0	EUR	
28/01/2025 00:00	94.13	94.13	94.13	94.13	0	EUR	
29/01/2025 00:00	94.09	94.09	94.09	94.09	0	EUR	
30/01/2025 00:00	94.43	94.43	94.43	94.43	0	EUR	
31/01/2025 00:00	94.73	94.73	94.73	94.73	0	EUR	
03/02/2025 00:00	95.05	95.05	95.05	95.05	0	EUR	
04/02/2025 00:00	95.06	95.06	95.06	95.06	0	EUR	
05/02/2025 00:00	95.36	95.36	95.36	95.36	0	EUR	
06/02/2025 00:00	95.35	95.35	95.35	95.35	0	EUR	
10/02/2025 00:00	95.33	95.33	95.33	95.33	0	EUR	
11/02/2025 00:00	94.96	94.96	94.96	94.96	0	EUR	
12/02/2025 00:00	94.7	94.7	94.7	94.7	0	EUR	
13/02/2025 00:00	95.26	95.26	95.26	95.26	0	EUR	
14/02/2025 00:00	95.12	95.12	95.12	95.12	0	EUR	
17/02/2025 00:00	94.92	94.92	94.92	94.92	0	EUR	
18/02/2025 00:00	94.88	94.88	94.88	94.88	0	EUR	
19/02/2025 00:00	94.59	94.59	94.59	94.59	0	EUR	
20/02/2025 00:00	94.67	94.67	94.67	94.67	0	EUR	
21/02/2025 00:00	95.02	95.02	95.02	95.02	0	EUR	
24/02/2025 00:00	95.04	95.04	95.04	95.04	0	EUR	
26/02/2025 00:00	95.4	95.4	95.4	95.4	0	EUR	
27/02/2025 00:00	95.42	95.42	95.42	95.42	0	EUR	
28/02/2025 00:00	95.51	95.51	95.51	95.51	0	EUR	
03/03/2025 00:00	95.23	95.23	95.23	95.23	0	EUR	
04/03/2025 00:00	95.19	95.19	95.19	95.19	0	EUR	
05/03/2025 00:00	94	94	94	94	0	EUR	
06/03/2025 00:00	93.68	93.68	93.68	93.68	0	EUR	
07/03/2025 00:00	93.76	93.76	93.76	93.76	0	EUR	
10/03/2025 00:00	93.85	93.85	93.85	93.85	0	EUR	
11/03/2025 00:00	93.56	93.56	93.56	93.56	0	EUR	
12/03/2025 00:00	93.52	93.52	93.52	93.52	0	EUR	
13/03/2025 00:00	93.49	93.49	93.49	93.49	0	EUR	
14/03/2025 00:00	93.4	93.4	93.4	93.4	0	EUR	
17/03/2025 00:00	93.72	93.72	93.72	93.72	0	EUR	
18/03/2025 00:00	93.72	93.72	93.72	93.72	0	EUR	
19/03/2025 00:00	93.83	93.83	93.83	93.83	0	EUR	
20/03/2025 00:00	93.91	93.91	93.91	93.91	0	EUR	
21/03/2025 00:00	93.96	93.96	93.96	93.96	0	EUR	
24/03/2025 00:00	93.85	93.85	93.85	93.85	0	EUR	
25/03/2025 00:00	93.74	93.74	93.74	93.74	0	EUR	
26/03/2025 00:00	93.74	93.74	93.74	93.74	0	EUR	
27/03/2025 00:00	93.79	93.79	93.79	93.79	0	EUR	
28/03/2025 00:00	94.05	94.05	94.05	94.05	0	EUR	
31/03/2025 00:00	94.01	94.01	94.01	94.01	0	EUR	
01/04/2025 00:00	94.31	94.31	94.31	94.31	0	EUR	
02/04/2025 00:00	94.2	94.2	94.2	94.2	0	EUR	
03/04/2025 00:00	94.42	94.42	94.42	94.42	0	EUR	
04/04/2025 00:00	94.45	94.45	94.45	94.45	0	EUR	
07/04/2025 00:00	93.84	93.84	93.84	93.84	0	EUR	
