date	ouv	haut	bas	clot	vol	devise	
08/04/2020 00:00	100.91	100.91	100.91	100.91	0	EUR	
09/04/2020 00:00	101.69	101.69	101.69	101.69	0	EUR	
14/04/2020 00:00	103.79	103.79	103.79	103.79	0	EUR	
15/04/2020 00:00	103.23	103.23	103.23	103.23	0	EUR	
16/04/2020 00:00	104.5	104.5	104.5	104.5	0	EUR	
17/04/2020 00:00	106.13	106.13	106.13	106.13	0	EUR	
20/04/2020 00:00	107.83	107.83	107.83	107.83	0	EUR	
21/04/2020 00:00	106.63	106.63	106.63	106.63	0	EUR	
22/04/2020 00:00	108.82	108.82	108.82	108.82	0	EUR	
23/04/2020 00:00	109.07	109.07	109.07	109.07	0	EUR	
24/04/2020 00:00	108.98	108.98	108.98	108.98	0	EUR	
27/04/2020 00:00	110.35	110.35	110.35	110.35	0	EUR	
28/04/2020 00:00	109.63	109.63	109.63	109.63	0	EUR	
29/04/2020 00:00	108.98	108.98	108.98	108.98	0	EUR	
30/04/2020 00:00	108.01	108.01	108.01	108.01	0	EUR	
04/05/2020 00:00	106.2	106.2	106.2	106.2	0	EUR	
05/05/2020 00:00	108.71	108.71	108.71	108.71	0	EUR	
06/05/2020 00:00	109.7	109.7	109.7	109.7	0	EUR	
07/05/2020 00:00	110.29	110.29	110.29	110.29	0	EUR	
11/05/2020 00:00	112.75	112.75	112.75	112.75	0	EUR	
12/05/2020 00:00	112.36	112.36	112.36	112.36	0	EUR	
13/05/2020 00:00	112.51	112.51	112.51	112.51	0	EUR	
14/05/2020 00:00	110.41	110.41	110.41	110.41	0	EUR	
15/05/2020 00:00	111.55	111.55	111.55	111.55	0	EUR	
18/05/2020 00:00	113.36	113.36	113.36	113.36	0	EUR	
19/05/2020 00:00	112.06	112.06	112.06	112.06	0	EUR	
20/05/2020 00:00	113.43	113.43	113.43	113.43	0	EUR	
22/05/2020 00:00	113.3	113.3	113.3	113.3	0	EUR	
25/05/2020 00:00	114.53	114.53	114.53	114.53	0	EUR	
26/05/2020 00:00	112.48	112.48	112.48	112.48	0	EUR	
27/05/2020 00:00	110.06	110.06	110.06	110.06	0	EUR	
28/05/2020 00:00	112.03	112.03	112.03	112.03	0	EUR	
29/05/2020 00:00	112.41	112.41	112.41	112.41	0	EUR	
02/06/2020 00:00	111.99	111.99	111.99	111.99	0	EUR	
03/06/2020 00:00	111.56	111.56	111.56	111.56	0	EUR	
04/06/2020 00:00	110.54	110.54	110.54	110.54	0	EUR	
05/06/2020 00:00	110.72	110.72	110.72	110.72	0	EUR	
08/06/2020 00:00	109.63	109.63	109.63	109.63	0	EUR	
09/06/2020 00:00	109.57	109.57	109.57	109.57	0	EUR	
10/06/2020 00:00	109.88	109.88	109.88	109.88	0	EUR	
11/06/2020 00:00	107.01	107.01	107.01	107.01	0	EUR	
12/06/2020 00:00	107.87	107.87	107.87	107.87	0	EUR	
15/06/2020 00:00	108.11	108.11	108.11	108.11	0	EUR	
16/06/2020 00:00	110.46	110.46	110.46	110.46	0	EUR	
17/06/2020 00:00	111.95	111.95	111.95	111.95	0	EUR	
18/06/2020 00:00	111.38	111.38	111.38	111.38	0	EUR	
19/06/2020 00:00	112.7	112.7	112.7	112.7	0	EUR	
22/06/2020 00:00	111.77	111.77	111.77	111.77	0	EUR	
24/06/2020 00:00	110.72	110.72	110.72	110.72	0	EUR	
25/06/2020 00:00	111.94	111.94	111.94	111.94	0	EUR	
26/06/2020 00:00	111.69	111.69	111.69	111.69	0	EUR	
29/06/2020 00:00	111.28	111.28	111.28	111.28	0	EUR	
30/06/2020 00:00	111.57	111.57	111.57	111.57	0	EUR	
01/07/2020 00:00	112.85	112.85	112.85	112.85	0	EUR	
02/07/2020 00:00	114.09	114.09	114.09	114.09	0	EUR	
03/07/2020 00:00	113.82	113.82	113.82	113.82	0	EUR	
06/07/2020 00:00	115.03	115.03	115.03	115.03	0	EUR	
07/07/2020 00:00	114.95	114.95	114.95	114.95	0	EUR	
08/07/2020 00:00	114.65	114.65	114.65	114.65	0	EUR	
09/07/2020 00:00	114.58	114.58	114.58	114.58	0	EUR	
