Entreprise,MSCI World Low Carbon SRI,MSCI Europe Low Carbon SRI,MSCI World ESG Leaders,FTSE4Good,S&P Clean Energy,S&P 500 ESG Leaders,S&P SmallCap 600,S&P MidCap 400,S&P EUROUSA 50,S&P 500 Equal Weight ESG+,S&P Water Decrement,S&P Water Index,CSR Hub Better World Companies AND 100 Low Carbon Pioneers,Sustainalytics top ESG
BBVA,,,,,,,,,✓,,,,,
GOOGL,✓,,,✓,,✓,,,,,,,,
NVO,,✓,,,,,,,,,,,,
BJ,,,,,,,,✓,,,,,,
LEG.DE,,,,,,,,,,,,,,✓
EQNR,,,,,,,,,,,,,✓,
OR.PA,,✓,,,,,,,,,,,,
FNF,,,,,,,,✓,,,,,,
ISP,,,,,,,,,✓,,,,,
SREN.SW,,,✓,,,,,,,,,,,
UNH,,,,✓,,✓,,,,✓,,,,
HMC,,,,,,,,,,,,,✓,
T,,,,,,,,,,✓,,,,
AVGO,,,,✓,,,,,,,,,,
ABB,,,,,,,,,,,,,✓,
ACIW,,,,,,,✓,,,,,,,
ZURVY,,✓,,,,,,,,,,,,
CTVA,,,,,,,,,,,,,✓,
EQH,,,,,,,,✓,,,,,,
SBSP3.SA,,,,,,,,,,,✓,,,
BGN.MI,,,,,,,,,,,,,,✓
TEG.DE,,,,,,,,,,,,,,✓
LNG,,,✓,,,,,,,,,,,
SSE,,,,,✓,,,,,,,,,
VNA.DE,,,,,,,,,,,,,,✓
MA,✓,,,✓,,✓,,,,,,,,
VLTO,,,,,,,,,,,✓,✓,,
THULE.ST,,,,,,,,,,,,,,✓
FIS,,,,,,,,,,✓,,,,
NVS,,✓,,,,,,,,,,,,
MSFT,✓,,,✓,,✓,,,,,,,,
COOP,,,,,,,✓,,,,,,,
TPZ.TO,,,,,,,,,,,,,,✓
USFD,,,,,,,,✓,,,,,,
ALX.AX,,,,,,,,,,,,,,✓
HAS,,,,,,,,,,,,,,✓
RS1.L,,,,,,,,,,,,,,✓
ABBV,,,,,,,,,✓,,,,,
MMM,,,,,,,,,,,,,✓,
KBC,,,,,,,,,✓,,,,,
IBE,,,,,✓,,,,,,,,,
RMS.PA,,✓,,,,,,,,,,,,
 MMSI,,,,,,,✓,,,,,,,
DAY,,,,,,,,,,✓,,,,
WPM,,,✓,,,,,,,,,,,✓
CSL,,,,,,,,✓,,,,,,
JBT,,,,,,,✓,,,,,,,
AABA,,,,,,,,,,,,,✓,
VAKRANGEE.NS,,,,,,,,,,,,,,✓
URW.AS,,,,,,,,,,,,,,✓
SBS,,,,,,,,,,,,✓,,
GEBN.SW,,,,,,,,,,,✓,,,
BNP,,,,,,,,,✓,,,,,
NEM,,,,,,,,,,✓,,,,
ITRI,,,,,,,,,,,,,✓,
ZURN.SW,,,✓,,,,,,,,,,,
TSLA,✓,,,,,✓,,,,,,,,
EAT,,,,,,,✓,,,,,,,
ORSTED,,,,,✓,,,,,,,,,
BTI,,,,,,,,,,,,,✓,
WSO,,,,,,,,✓,,,,,,
AWK,,,,,,,,,,,✓,✓,,
COV.PA,,,,,,,,,,,,,,✓
7912.T,,,,,,,,,,,,,,✓
RDF.JO,,,,,,,,,,,,,,✓
SAMPO.HE,,,✓,,,,,,,,,,,
BAYN.DE,,,,,,,,,,,,,✓,
SGRO.L,,,,,,,,,,,,,,✓
UL,,,,,,,,,,,,,✓,
HD,✓,,,,,,,,,,,,,
CBOE,,,✓,,,,,,,,,,,
JNJ,✓,,,,,,,,,,,,,
DTE,,,,,,,,,✓,,,,,
V,✓,,,✓,,✓,,,,,,,,
AA,,,,,,,,,,,,,✓,
PGEO.JK,,,,,,,,,,,,,,✓
GBERF,,,,,,,,,,,,✓,,
GOOG,,,,✓,,,,,,,,,,
BN.PA,,,✓,,,,,,,,,,,
RELX,,✓,,,,,,,,,,,,
600900.SS,,,,,✓,,,,,,,,,
SVT,,,,,,,,,,,✓,✓,,
EA,,,✓,,,,,,,,,,,
SFM,,,,,,,,✓,,,,,,
AI.PA,,✓,,,,,,,,,,,,
SU.PA,,✓,,,,,,,,,,,,
BMI,,,,,,,✓,,,,,,,
TFPM,,,,,,,,,,,,,,✓
ACKB.BR,,,,,,,,,,,,,,✓
LUV,,,,,,,,,,✓,,,,
AEP,,,,,,,,,,,,,✓,
AVT,,,,,,,,,,,,,,✓
EQTL3.SA,,,,,✓,,,,,,,,,
HSBC,,✓,,,,,,,,,,,✓,
UU.L,,,,,,,,,,,✓,,,
EDP,,,,,✓,,,,,,,,,
DELL,,,,,,,,,,,,,✓,
VEOEY,,,,,,,,,,,,✓,,
BBOX.L,,,,,,,,,,,,,,✓
PSN.L,,,,,,,,,,,,,,✓
RPM,,,,,,,,✓,,,,,,
XYL,,,,,,,,,,,✓,✓,,
NVDA,✓,,,✓,,✓,,,,,,,,
AAPL,,,,✓,,✓,,,,,,,,
LLY,✓,,,✓,,,,,,,,,,
WMT,,,,,,,,,,,,,✓,
DB1,,,,,,,,,✓,,,,,
