Fund Name,Greenfin Label,ISR Label
Allianz Impact Green Bond,✓,
Allianz Green Bond,✓,
FPCI AMUNDI PRIVATE EQUITY TRANSITION JUSTE,✓,
AMUNDI RESPONSIBLE INVESTING – IMPACT GREEN BONDS,✓,
Ircantec Green Bonds Amundi AM,✓,
AMUNDI FUNDS IMPACT GREEN BONDS,✓,
Amundi Funds Euro Corporate Short Term Impact Green Bonds,✓,
AMUNDI CREDIT GREEN BONDS,✓,
AMUNDI KBI ACTIONS MONDE ENVIRONNEMENT,✓,
LCL ACTIONS MONDE ENVIRONNEMENT,✓,
SG OBLIGATIONS VERTES,✓,
Amundi Obligations Vertes ESR,✓,
Amundi Responsible Investing - Impact Euro Corporate Green Bond,✓,
GFI SYMBIOSE,✓,
Andera Smart Infra 1,✓,
Andera Smart Infra 2,✓,
Stratégie Obligations Durables,✓,
Transition Evergreen,✓,
AXA Sélection Obligations Monde,✓,
Ircantec Green Bonds,✓,
AXA Horizon Durable,✓,
AGIPI Obligations Monde,✓,
AXA WF ACT Dynamic Green Bonds,✓,
AXA WF ACT Green Bonds,✓,
iShares Green Bond Fund,✓,
BNP Paribas Funds Green Bond,✓,
Multipar Green Bond,✓,
Conquest Infrastructure SLP Sustainable II,✓,
Covéa Obligations,✓,
CM-AM Global Climate Change,✓,
CM-AM Green Bonds,✓,
Fonds de Modernisation Ecologique des Transports,✓,
Paris fonds verts,✓,
DORVAL EUROPEAN CLIMATE INITIATIVE,✓,
Ecofi Agir pour le climat,✓,
PEARL Infrastructure Capital,✓,
EDRAM Bridge IV Europe Senior,✓,
PEARL Infrastructure Capital II,✓,
Egamo Obligation Euro,✓,
Eiffel Infrastructures Vertes,✓,
Allianz Transition Energétique,✓,
Eiffel Gaz Vert,✓,
MAIF Rendement Vert,✓,
ETE - Energy Transition Europe,✓,
Famae Impact I,✓,
Federal Global Green Bonds,✓,
GFF MAIF Forêts,✓,
GFI France Valley Forêts I,✓,
GFI France Valley Patrimoine,✓,
France Valley Entrepreneurs,✓,
France Valley Foncière Europe,✓,
GFI France Valley Forêts II,✓,
GFI France Valley Forêts III,✓,
GFI France Valley Forêts IV,✓,
GFI France Valley Forêts V,✓,
GFI France Valley Forêts VI,✓,
GFI France Valley Forêts VII,✓,
GFI France Valley Forêts VIII,✓,
France Valley Revenu Europe I,✓,
France Valley Revenu Europe II,✓,
France Valley Revenu Europe III,✓,
France Valley Revenu Europe IV,✓,
France Valley Revenu Europe V,✓,
France Valley Revenu Europe VI,✓,
France Valley Revenu Europe VII,✓,
France Valley Revenu Europe IX,✓,
France Valley - Investissement Forêts Europe IR I,✓,
France Valley - Investissement Forêts Europe IR II,✓,
GFI France Valley Forêts IX,✓,
GFI France Valley Forêts X,✓,
Glennmont Clean Energy Fund IV,✓,
GS Corporate Green Bond,✓,
GS Green Bond,✓,
GS Green Bond Short Duration,✓,
GS Sovereign Green Bond,✓,
HSBC EE Actions Europe Transition Verte,✓,
HSBC RIF Europe Equity Green Transition,✓,
Fonds Développement Filière Bois,✓,
CA Transitions B,✓,
Tocqueville environnement ISR,✓,
Tutélaire Actions ISR,✓,
La Française LUX – Inflection Point Carbon Impact Global,✓,
