date	ouv	haut	bas	clot	vol	devise	
09/04/2020 00:00	82.91	82.91	82.91	82.91	0	EUR	
14/04/2020 00:00	83.85	83.85	83.85	83.85	0	EUR	
15/04/2020 00:00	80.49	80.49	80.49	80.49	0	EUR	
16/04/2020 00:00	81.09	81.09	81.09	81.09	0	EUR	
17/04/2020 00:00	83.4	83.4	83.4	83.4	0	EUR	
20/04/2020 00:00	84.08	84.08	84.08	84.08	0	EUR	
21/04/2020 00:00	80.75	80.75	80.75	80.75	0	EUR	
22/04/2020 00:00	81.89	81.89	81.89	81.89	0	EUR	
23/04/2020 00:00	82.46	82.46	82.46	82.46	0	EUR	
24/04/2020 00:00	81.29	81.29	81.29	81.29	0	EUR	
27/04/2020 00:00	82.92	82.92	82.92	82.92	0	EUR	
28/04/2020 00:00	84.75	84.75	84.75	84.75	0	EUR	
29/04/2020 00:00	86.4	86.4	86.4	86.4	0	EUR	
30/04/2020 00:00	84.66	84.66	84.66	84.66	0	EUR	
04/05/2020 00:00	81.25	81.25	81.25	81.25	0	EUR	
05/05/2020 00:00	82.9	82.9	82.9	82.9	0	EUR	
06/05/2020 00:00	82.28	82.28	82.28	82.28	0	EUR	
07/05/2020 00:00	83.46	83.46	83.46	83.46	0	EUR	
11/05/2020 00:00	83.63	83.63	83.63	83.63	0	EUR	
12/05/2020 00:00	83.73	83.73	83.73	83.73	0	EUR	
13/05/2020 00:00	81.82	81.82	81.82	81.82	0	EUR	
14/05/2020 00:00	80.72	80.72	80.72	80.72	0	EUR	
15/05/2020 00:00	80.96	80.96	80.96	80.96	0	EUR	
18/05/2020 00:00	84.36	84.36	84.36	84.36	0	EUR	
19/05/2020 00:00	84.08	84.08	84.08	84.08	0	EUR	
20/05/2020 00:00	84.81	84.81	84.81	84.81	0	EUR	
22/05/2020 00:00	84.12	84.12	84.12	84.12	0	EUR	
25/05/2020 00:00	85.88	85.88	85.88	85.88	0	EUR	
26/05/2020 00:00	86.61	86.61	86.61	86.61	0	EUR	
28/05/2020 00:00	89.11	89.11	89.11	89.11	0	EUR	
29/05/2020 00:00	88.59	88.59	88.59	88.59	0	EUR	
02/06/2020 00:00	90.76	90.76	90.76	90.76	0	EUR	
03/06/2020 00:00	93.27	93.27	93.27	93.27	0	EUR	
04/06/2020 00:00	92.89	92.89	92.89	92.89	0	EUR	
05/06/2020 00:00	95.78	95.78	95.78	95.78	0	EUR	
08/06/2020 00:00	94.84	94.84	94.84	94.84	0	EUR	
09/06/2020 00:00	94.04	94.04	94.04	94.04	0	EUR	
10/06/2020 00:00	93.61	93.61	93.61	93.61	0	EUR	
11/06/2020 00:00	89.94	89.94	89.94	89.94	0	EUR	
12/06/2020 00:00	90.37	90.37	90.37	90.37	0	EUR	
15/06/2020 00:00	89.87	89.87	89.87	89.87	0	EUR	
16/06/2020 00:00	92.05	92.05	92.05	92.05	0	EUR	
17/06/2020 00:00	92.97	92.97	92.97	92.97	0	EUR	
18/06/2020 00:00	92.69	92.69	92.69	92.69	0	EUR	
19/06/2020 00:00	93.45	93.45	93.45	93.45	0	EUR	
22/06/2020 00:00	92.76	92.76	92.76	92.76	0	EUR	
23/06/2020 00:00	94.32	94.32	94.32	94.32	0	EUR	
24/06/2020 00:00	91.67	91.67	91.67	91.67	0	EUR	
25/06/2020 00:00	92.45	92.45	92.45	92.45	0	EUR	
26/06/2020 00:00	92.47	92.47	92.47	92.47	0	EUR	
29/06/2020 00:00	92.92	92.92	92.92	92.92	0	EUR	
30/06/2020 00:00	93.42	93.42	93.42	93.42	0	EUR	
01/07/2020 00:00	93.03	93.03	93.03	93.03	0	EUR	
02/07/2020 00:00	95.29	95.29	95.29	95.29	0	EUR	
03/07/2020 00:00	94.59	94.59	94.59	94.59	0	EUR	
06/07/2020 00:00	96.02	96.02	96.02	96.02	0	EUR	
07/07/2020 00:00	95.65	95.65	95.65	95.65	0	EUR	
08/07/2020 00:00	94.8	94.8	94.8	94.8	0	EUR	
09/07/2020 00:00	94.23	94.23	94.23	94.23	0	EUR	
10/07/2020 00:00	95.16	95.16	95.16	95.16	0	EUR	
13/07/2020 00:00	96.72	96.72	96.72	96.72	0	EUR	
15/07/2020 00:00	97.11	97.11	97.11	97.11	0	EUR	
16/07/2020 00:00	96.86	96.86	96.86	96.86	0	EUR	
17/07/2020 00:00	96.82	96.82	96.82	96.82	0	EUR	
20/07/2020 00:00	97.67	97.67	97.67	97.67	0	EUR	
21/07/2020 00:00	97.9	97.9	97.9	97.9	0	EUR	
22/07/2020 00:00	97.49	97.49	97.49	97.49	0	EUR	
23/07/2020 00:00	97.37	97.37	97.37	97.37	0	EUR	
24/07/2020 00:00	95.73	95.73	95.73	95.73	0	EUR	
27/07/2020 00:00	95.64	95.64	95.64	95.64	0	EUR	
28/07/2020 00:00	95.34	95.34	95.34	95.34	0	EUR	
