Overall score
ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARG,Argentina,67.37,66.84,66.4,67.56,68.13,68.96,69.18,69.25,69.68,70.47,70.82,71.37,71.96,72.37,72.82,73.78,73.35,73.78,73.78,73.56,73.49,74.13,74.68,74.4
AUS,Australia,72.23,72.52,73.19,71.53,72.23,72.51,72.79,72.39,72.44,72.83,72.97,72.78,73.05,74.13,74.66,75.2,75.61,75.8,75.52,75.89,76.19,76.27,76.39,76.88
BRA,Brazil,67.05,67.32,67.52,67.96,68.43,68.8,69.27,69.58,70.21,70.55,70.89,71.15,71.41,72.05,72.59,73.12,72.88,72.62,72.77,73.16,73.93,73.09,73.36,73.78
CAN,Canada,75.52,75.62,75.63,75.61,75.65,75.73,75.47,75.34,75.6,76.23,76.04,76.2,76.29,76.39,76.82,77.24,77.75,77.53,77.67,77.9,78.7,78.33,78.74,78.83
CHN,China,59.77,59.95,60.06,60.1,60.41,61.11,61.51,62.45,62.63,63.12,63.78,64.47,65.22,65.81,66.66,67.56,68.11,68.53,69.08,69.63,70.1,70.57,70.7,70.85
DEU,Germany,76.84,77.49,77.59,77.58,78.43,78.45,78.45,78.62,78.8,79.43,79.48,79.72,80.33,80.53,81.22,81.82,81.93,82.18,82.06,82.56,83.14,83.02,83.35,83.45
FRA,France,76.13,76.39,76.65,76.61,76.87,77.15,77.46,77.44,78.12,78.68,78.81,78.78,79.56,79.77,80.25,80.53,80.72,81.17,81.68,82.26,82.81,82.61,82.91,82.76
GBR,United Kingdom,76.53,76.85,77.33,77.41,77.38,77.47,77.12,77.22,77.73,78.37,79.04,79.46,79.64,79.62,80.35,80.33,80.81,81.11,81.2,81.41,82.09,82.16,82.19,82.16
IDN,Indonesia,59.41,59.59,59.9,60.02,59.87,60.21,59.85,60.18,60.68,61.24,62.02,61.51,62.28,62.69,63.58,64.07,64.7,65.98,67,67.94,68.44,68.95,69.24,69.43
IND,India,52.19,52.41,52.27,52.67,52.66,53.12,53.43,53.88,53.97,53.77,54.81,55.78,56.26,56.63,57.87,58.45,58.89,59.8,60.53,61.57,62.28,62.86,63.57,63.99
ITA,Italy,72.11,72.31,72.41,72.49,73.29,74.02,74.09,74.61,74.7,76.04,76.26,76.19,76.89,77.17,78.04,77.63,77.87,77.94,78.29,78.85,79.28,79.27,79.43,79.29
JPN,Japan,75.24,75.67,75.84,76,76.19,76.55,76.76,76.99,76.97,77.37,77.63,77.91,77.97,77.85,78.02,78.56,78.53,78.51,78.7,79.09,79.4,79.43,79.84,79.87
KOR,"Korea, Rep.",72.1,72.61,72.42,72.43,72.72,73.12,73.27,73.46,74.12,74.62,74.68,74.72,74.98,74.96,75.51,76.12,75.93,75.64,76.15,76.5,76.88,77.1,77.35,77.33
MEX,Mexico,61.63,62.03,62.7,62.49,63.03,63.45,64.17,64.09,64.71,65.14,65.97,65.91,66.26,66.57,67.16,67.07,67.63,67.61,68.55,68.52,68.7,68.8,69.21,69.28
RUS,Russian Federation,66.38,66.85,67.34,67.19,67.46,67.51,67.34,67.58,67.99,68.3,67.98,68.66,68.65,69.06,69.98,70.72,71.6,72.16,72.33,72.54,73.1,73.01,73.09,73.1
SAU,Saudi Arabia,52.74,53.42,53.41,53.28,53.03,52.37,52.21,52.46,52.06,51.69,52.3,52.94,52.95,53.57,55.12,55.37,55.91,56.5,57.73,58.8,60.63,62.08,62.01,64.91
TUR,Türkiye,65.81,66.11,66.23,65.75,65.95,65.97,66.19,66.58,67.38,68.03,68.36,68.48,68.92,69.22,68.92,69.02,68.92,69.13,69.73,69.86,70.35,70,70.12,70.47
USA,United States,70.26,70.5,70.54,70.66,70.73,70.78,70.7,71.11,71.35,71.98,72.3,72.57,72.83,72.85,73.12,73.02,73.33,73.62,73.37,73.6,74.45,74.27,74.15,74.43
ZAF,South Africa,56.61,56.6,57.02,56.58,56.74,56.9,57.26,57.69,58.24,58.51,58.98,59.61,59.85,59.99,60.63,61.08,61.66,62.13,61.97,62.36,63.31,63.13,63.35,63.44

Sustainable Development Report 2024 (www.sdgindex.org)
