date,0P0000KU3M.F,LU1313770536
2020-04-09,195.37,
2020-04-14,197.32,8137.21
2020-04-15,190.89,8167.79
2020-04-16,191.78,8160.66
2020-04-17,196.52,8164.87
2020-04-20,197.21,8148.94
2020-04-21,192.48,8144.65
2020-04-22,193.85,8130.21
2020-04-23,195.69,8162.22
2020-04-24,194.44,8194.41
2020-04-27,197.7,8215.52
2020-04-28,199.42,8257.01
2020-04-29,202.28,8243.86
2020-04-30,200.95,8279.24
2020-05-04,194.7,8256.34
2020-05-05,198.35,8260.03
2020-05-06,197.93,8229.67
2020-05-07,200.38,8235.4
2020-05-08,,8237.14
2020-05-11,201.66,8223.36
2020-05-12,200.9,8237.14
2020-05-13,,8211.41
2020-05-14,194.62,8193.31
2020-05-15,195.97,8182.85
2020-05-18,202.63,8160.62
2020-05-19,200.73,8198.88
2020-05-20,203.14,8199.09
2020-05-22,202.76,8224.44
2020-05-25,206.66,8228.49
2020-05-26,207.32,8236.17
2020-05-27,207.35,8266.77
2020-05-28,211.43,8304.71
2020-05-29,210.6,8292.62
2020-06-02,214.36,8303.83
2020-06-03,218.41,8323.27
2020-06-04,217.88,8356.39
2020-06-05,220.79,8412.52
2020-06-08,219.47,8444.61
2020-06-09,217.93,8417.83
2020-06-10,217.3,8402.82
2020-06-11,210.18,8391.63
2020-06-12,210.55,8394.43
2020-06-15,210.16,8385.63
2020-06-16,214.08,8428.62
2020-06-17,215.83,8423.35
2020-06-18,214.85,8410.09
2020-06-19,214.98,8411.38
2020-06-22,213.79,8407.85
2020-06-24,211.66,8402.72
2020-06-25,214.19,8399.53
2020-06-26,213.81,8379.43
2020-06-29,214.6,8390.56
2020-06-30,215.0,8391.51
2020-07-01,215.3,8382.95
2020-07-02,218.8,8410.85
2020-07-03,217.72,8415.76
2020-07-06,220.24,8427.67
2020-07-07,220.04,8424.64
2020-07-08,218.01,8426.86
2020-07-09,217.55,8435.0
2020-07-10,218.64,8434.0
2020-07-13,220.54,8421.71
2020-07-14,,8432.15
2020-07-15,220.97,8450.68
2020-07-16,219.91,8465.39
2020-07-17,220.56,8466.97
2020-07-20,222.53,8485.85
2020-07-21,222.62,8510.13
2020-07-22,222.3,8526.2
2020-07-23,223.01,8529.77
2020-07-24,219.62,8518.09
2020-07-27,219.85,8533.68
2020-07-28,219.24,8540.18
2020-07-29,220.41,8536.06
2020-07-30,216.98,8540.94
2020-07-31,215.86,8532.87
2020-08-03,218.09,8528.33
2020-08-04,217.03,8542.51
2020-08-05,218.57,8536.37
2020-08-06,218.42,8553.45
2020-08-07,219.42,8552.24
2020-08-10,218.93,8570.07
2020-08-11,222.08,8570.11
2020-08-12,223.91,8568.57
2020-08-13,224.34,8561.3
2020-08-14,221.46,8560.86
2020-08-17,222.48,8568.49
2020-08-18,221.82,8572.49
2020-08-19,222.32,8579.62
2020-08-20,220.82,8586.41
2020-08-21,221.35,8593.33
2020-08-24,223.8,8592.36
2020-08-25,224.32,8576.29
2020-08-26,226.48,8569.47
2020-08-27,224.67,8565.13
2020-08-28,224.38,8567.88
2020-08-31,223.65,8563.36
2020-09-01,224.13,8574.29
2020-09-02,228.2,8599.73
2020-09-03,224.69,8606.42
2020-09-04,221.06,8595.96
2020-09-07,224.76,8593.14
2020-09-08,222.35,8597.95
2020-09-09,224.93,8584.05
2020-09-10,224.75,8576.23
2020-09-11,225.18,8592.76
2020-09-14,226.25,8595.59
2020-09-15,227.52,8598.73
2020-09-16,227.75,8605.58
2020-09-17,226.37,8610.63
2020-09-18,225.92,8608.97
2020-09-21,220.34,8608.16
2020-09-22,220.16,8591.88
2020-09-23,220.62,8592.22
2020-09-24,218.17,8573.44
2020-09-25,217.42,8590.24
2020-09-28,221.37,8573.49
2020-09-29,222.26,8582.87
2020-09-30,221.71,8582.43
2020-10-01,223.18,8598.08
2020-10-02,222.22,8602.32
2020-10-05,223.73,8603.81
2020-10-06,223.35,8616.35
2020-10-07,223.43,8618.11
2020-10-08,225.36,8632.26
2020-10-09,226.69,8634.27
2020-10-12,228.59,8642.31
2020-10-13,228.44,8649.31
2020-10-14,227.44,8655.58
2020-10-15,223.36,8653.92
2020-10-16,225.41,8660.68
2020-10-19,225.36,8668.03
2020-10-20,224.72,8661.96
2020-10-21,222.53,8660.33
