,IRLTLT01GRM156N,CRIIRLTLT01STM,IRLTLT01SEM156N,IRLTLT01NOM156N,IRLTLT01FIM156N,IRLTLT01DKM156N,IRLTLT01ISM156N,LVAIRLTLT01STM,IRLTLT01LUM156N,COLIRLTLT01STM,IRLTLT01FRM156N,IRLTLT01DEM156N,IRLTLT01GBM156N,IRLTLT01CAM156N
2000-01-01,6.6,9.77,5.95,6.36,5.74,5.869,4.84,7.64,5.645,15.89,5.6682,5.53952380952381,5.8227,6.4915
2000-02-01,6.49,9.77,5.9,6.33,5.72,5.847,4.6,7.64,5.705,15.89,5.6293,5.508571428571429,5.6347,6.338571428571429
2000-03-01,6.24,9.77,5.51,6.14,5.5,5.65,4.9,7.64,5.558,15.89,5.4491,5.33304347826087,5.3707,6.02826086956522
2000-04-01,6.11,9.77,5.42,6.09,5.46,5.574,5.15,7.64,5.417999999999999,15.89,5.353,5.22555555555556,5.3213,5.9242105263157905
2000-05-01,6.22,9.77,5.34,6.25,5.59,5.768,5.5,7.64,5.596,15.89,5.5014,5.37818181818182,5.4033,6.215
2000-06-01,6.06,9.77,5.13,6.09,5.39,5.67,5.35,7.64,5.375,15.89,5.33,5.19136363636364,5.2097,5.89545454545455
2000-07-01,6.08,9.77,5.31,6.22,5.48,5.756,5.6,7.64,5.57,15.89,5.4119,5.266190476190481,5.2388,5.8635
2000-08-01,6.04,9.77,5.31,6.18,5.43,5.642,5.6,7.64,5.49,15.89,5.3677,5.210434782608701,5.3312,5.76636363636364
2000-09-01,6.05,9.77,5.26,6.34,5.49,5.662999999999999,5.5,7.64,5.5729999999999995,15.89,5.4256,5.26333333333333,5.3873,5.7295
2000-10-01,5.97,9.77,5.23,6.37,5.45,5.57,5.55,7.64,5.513,15.89,5.3589,5.20714285714286,5.2179,5.72333333333333
2000-11-01,5.87,9.77,5.13,6.24,5.4,5.489,5.55,7.64,5.569,15.89,5.2895,5.15363636363636,5.0983,5.727142857142861
2000-12-01,5.54,9.77,4.92,6.01,5.14,5.204,5.5,7.64,5.206,15.89,5.0466,4.89052631578947,4.9118,5.40210526315789
2001-01-01,5.35,9.77,4.89,5.95,5.02,5.088,5.56,7.64,5.06,15.89,4.9487,4.80318181818182,4.8471,5.41863636363636
2001-02-01,5.35,9.77,4.86,5.96,5.02,5.062,5.56,7.82,5.083,15.89,4.9385,4.7775,4.8248,5.43
2001-03-01,5.28,9.77,4.75,6.01,4.94,4.945,5.45,7.9,4.93,15.89,4.8405,4.667727272727269,4.703,5.30136363636364
2001-04-01,5.39,9.77,4.93,6.22,5.1,5.136,5.7,7.9,5.05,15.89,5.0126,4.827894736842111,4.9468,5.5915
2001-05-01,5.54,9.77,5.27,6.48,5.29,5.348,5.03,7.54,5.297999999999999,15.89,5.2132,5.046818181818179,5.1153,5.85136363636364
